,numpy,jit,cuda
1024,0.17182575199967687,0.012209932000587287,0.35467839400007506
2048,1.3852855830000408,0.07422640500044508,0.0003110730003754725
4096,10.55223094899975,0.7206367789995056,0.00038559399945370387
10240,153.4917566969998,1.3225838070002283,0.001363162000416196
